entry_time,entry_stock_price,entry_value,max_loss,tp1_value,target_value,size,direction,rsi_entry,atr_entry,adx_entry,signal_type,buy_strike,sell_strike,iv,expiry_date,confluences,entry_bar,highest_value,exit_time,exit_value,pnl,result
2023-01-04 13:50:00+00:00,171.74361414219717,55.977469658677684,1.2215816700271347,57.57670055309171,89.12928929784879,1,long,38.263063906229085,0.19971562876960416,22.882713149335313,bos (Long),171.84347195658196,173.0417657291996,0.5,2023-01-11 13:50:00+00:00,"{'Uptrend': False, 'Downtrend': True, 'QQQ Aligned': True, 'High Volume': True, 'Prophet Bullish': True, 'Above SMA20': True, 'Below SMA20': True}",210,57.84859903060892,2023-01-05 12:05:00+00:00,54.569784393276585,-2.707685265401099,loss
2023-01-04 13:20:00+00:00,171.89067787482608,55.074690614602524,2.6498332296578013,53.53116128303854,85.08018213395862,1,short,41.51627393524595,0.19632067440694062,21.60093129110731,bos (Short),171.98883821202955,173.16676225847118,0.5,2023-01-11 13:20:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True, 'High Volume': True, 'Prophet Bullish': False, 'Above SMA20': True, 'Below SMA20': True}",204,56.33195428569468,2023-01-05 12:20:00+00:00,52.06709427297274,-4.307596341629785,loss
2023-01-04 13:25:00+00:00,171.87987484065764,55.11715670596429,2.9372635040955544,53.571026205085566,85.14627501707889,1,short,41.1774020560888,0.19648045076844173,22.305331517377052,break_and_retest (Short),171.97811506604185,173.1569977706525,0.5,2023-01-11 13:25:00+00:00,"{'Uptrend': False, 'Downtrend': True, 'QQQ Aligned': True, 'High Volume': False, 'Prophet Bullish': False, 'Above SMA20': True, 'Below SMA20': False}",205,56.41830374837468,2023-01-05 12:20:00+00:00,52.15372134313448,-4.263435362829813,loss
2023-01-05 12:45:00+00:00,171.10364270684127,49.051972260442234,1.7522572729370154,47.83415721932173,75.72034769206026,1,short,33.2715580436694,0.17391805671242588,28.32443136837008,bos (Short),171.19060173519748,172.23411007547202,0.5,2023-01-12 12:45:00+00:00,"{'Uptrend': False, 'Downtrend': True, 'QQQ Aligned': True, 'High Volume': True, 'Prophet Bullish': False, 'Above SMA20': True, 'Below SMA20': True}",276,52.344356789307625,2023-01-06 10:25:00+00:00,52.344356789307625,1.9923845288653907,profit
2023-01-05 12:40:00+00:00,170.9464301501425,47.599645350585384,2.4543887362648604,46.45460203410351,73.46498505412515,1,short,23.05515488210264,0.16855030339357333,28.864871827865816,bos (Short),171.0307053018393,172.04200712220074,0.5,2023-01-12 12:40:00+00:00,"{'Uptrend': False, 'Downtrend': True, 'QQQ Aligned': True, 'High Volume': False, 'Prophet Bullish': False, 'Above SMA20': True, 'Below SMA20': True}",275,52.07610783844651,2023-01-06 13:30:00+00:00,52.07610783844651,3.1764624878611274,profit
2023-01-05 13:00:00+00:00,171.16361896686718,51.25102855997516,2.0982830895879445,49.91702795323772,79.13721266467986,1,short,38.1818242879116,0.18208145278191687,23.57173411186712,break_and_retest (Short),171.25465969325813,172.34714840994963,0.5,2023-01-12 13:00:00+00:00,"{'Uptrend': False, 'Downtrend': True, 'QQQ Aligned': True, 'High Volume': False, 'Prophet Bullish': False, 'Above SMA20': True, 'Below SMA20': True}",279,55.20406044081766,2023-01-06 13:30:00+00:00,55.20406044081766,2.6530318808425024,profit
2023-01-05 12:35:00+00:00,171.07042178782982,48.12178530751809,2.349467173954899,46.95134984474138,74.27556661066973,1,short,25.966705712285844,0.1704755271121076,27.875923025092565,bos (Short),171.15565955138587,172.1785127140585,0.5,2023-01-12 12:35:00+00:00,"{'Uptrend': False, 'Downtrend': True, 'QQQ Aligned': True, 'High Volume': False, 'Prophet Bullish': False, 'Above SMA20': True, 'Below SMA20': True}",274,52.90705153845751,2023-01-06 15:00:00+00:00,52.90705153845751,3.4852662309394207,profit
2023-01-05 14:55:00+00:00,171.67514672175514,57.17474558049517,2.431469601273548,58.847412214856504,91.11650226729628,1,long,59.18989817820317,0.20422021243805935,17.135757274858328,bos (Long),171.77725682797416,173.0025781026025,0.5,2023-01-12 14:55:00+00:00,"{'Uptrend': False, 'Downtrend': True, 'QQQ Aligned': True, 'High Volume': True, 'Prophet Bullish': False, 'Above SMA20': True, 'Below SMA20': True}",302,62.114030925069194,2023-01-06 15:50:00+00:00,62.114030925069194,3.6392853445740245,profit
2023-01-06 10:40:00+00:00,171.89370385563663,47.52069930715306,2.0415778515628205,48.54168877970564,75.11207322217514,1,long,62.87606243508057,0.1682181113176291,17.727661406599115,break_and_retest (Long),171.97781291129544,172.98712157920122,0.5,2023-01-13 10:40:00+00:00,"{'Uptrend': False, 'Downtrend': True, 'QQQ Aligned': True, 'High Volume': False, 'Prophet Bullish': False, 'Above SMA20': True, 'Below SMA20': True}",330,52.010993001402575,2023-01-09 09:50:00+00:00,52.010993001402575,3.190293694249516,profit
2023-01-09 11:05:00+00:00,173.57838793355015,52.97528195826625,2.697910065829518,54.2427199386864,84.0184001565597,1,long,79.41524100713508,0.18837963354511675,38.16625166718044,break_and_retest (Long),173.67257775032272,174.8028555515934,0.5,2023-01-16 11:05:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True, 'High Volume': False, 'Prophet Bullish': False, 'Above SMA20': True, 'Below SMA20': True}",414,52.5580323848299,2023-01-09 12:40:00+00:00,50.20535742682398,-4.069924531442271,loss
